subjectCode,courseNumber,courseTitle,creditNarrative,prereqNarrative
ANTH,1,Introduction to Biological Anthropology,5.0,
ANTH,2,Introduction to Cultural Anthropology,5.0,
ANTH,3,Introduction to Archaeology,5.0,
ANTH,93,Field Study,5.0,
ANTH,97,Laboratory Safety Practicum,2.0,
ANTH,100,History and Theory of Biological Anthropology,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3 and satisfaction of the Entry Level Writing and Composition requirements."
ANTH,101,Human Evolution,5.0,"""ANTH 1"""
ANTH,102A,Human Skeletal Biology,5.0,"""ANTH 1"""
ANTH,103,Forensic Anthropology,5.0,Prerequisite(s): ANTH 102A. Enrollment is restricted to juniors and seniors.
ANTH,103I,Forensic Anthropology,4.0,"""ANTH 102A"""
ANTH,104,Human Variation and Adaptation,5.0,
ANTH,105,Human Paleopathology,5.0,Prerequisite(s): ANTH 1; ANTH 102A recommended.
ANTH,106,Primate Behavior and Ecology,5.0,"""ANTH 1"""
ANTH,106A,Chimpanzee Behavior and Culture A,,
ANTH,106B,Chimpanzee Behavior and Culture,2.0,"""ANTH 106A"""
ANTH,106C,Chimpanzee Behavior and Culture,2.0,
ANTH,107A,Methods and Research in Biological Anthropology: Genetics,5.0,
ANTH,107B,Methods and Research in Biological Anthropology: Stable Isotopes,5.0,"[""OR"", [""OR"", [""OR"", [""OR"", ""ANTH 101"", ""ANTH 104""], ""ANTH 106""], ""ANTH 107""], ""ANTH 110F""]"
ANTH,107C,Methods and Research in Biological Anthropology: Chimpanzee Behavior and Culture,5.0,
ANTH,107D,Methods and Research in Biological Anthropology–Computational Population Genetics,5.0,
ANTH,109,Evolution of Sex,5.0,"""ANTH 1"""
ANTH,110A,Public Life and Contemporary Issues,5.0,
ANTH,110B,From Indiana Jones to Stonehenge: Archaeology as Popular Culture,5.0,
ANTH,110C,California Pasts,5.0,
ANTH,110D,Tourism Imaginaries and Encounters,5.0,
ANTH,110E,Anthropology of Global Environmental Change,5.0,
ANTH,110F,Evolution of Human Diet,5.0,
ANTH,110G,"Westside Stories: Race, Place and the California Imaginary",5.0,
ANTH,110H,Brazilian Amazon Cultures and Environments,5.0,
ANTH,110I,Cultures of Sustainability and Social Justice,5.0,
ANTH,110J,Emerging Humanity,5.0,
ANTH,110K,Culture Through Food,5.0,
ANTH,110L,The Human Ocean,5.0,
ANTH,110N,Anthropology of Food,5.0,
ANTH,110O,Postcolonial Britain and France,5.0,
ANTH,110P,India and Indian Diaspora through Film,5.0,
ANTH,110Q,Queer Sexuality in Black Popular Culture,5.0,
ANTH,110R,Discourses in American Religions and Their Role in Public Life,5.0,
ANTH,110S,Evolution of Democracy,5.0,
ANTH,110T,Motherhood in American Culture,5.0,
ANTH,110U,Histories and Cultures of Piracy,5.0,
ANTH,110V,American Capitalism,5.0,
ANTH,110W,Land and Waterscapes Entropology,5.0,
ANTH,110Y,Feeding California,5.0,
ANTH,111,Human Ecology,5.0,
ANTH,112,Life Cycles,5.0,"""ANTH 1"""
ANTH,113,Tutoring Writing in Anthropology,2.0,
ANTH,119,Indigenous Visual Culture,5.0,
ANTH,121,Socialism,5.0,
ANTH,122,Postsocialism,5.0,
ANTH,123,Psychological Anthropology,5.0,"""ANTH 2"""
ANTH,124,Anthropology of Religion,5.0,
ANTH,125,"Magic, Science, and Religion",5.0,
ANTH,126,Contraband: Shadow Economies and the Law,5.0,
ANTH,127,Ethnographies of Capitalism,5.0,
ANTH,128,Contemporary American Evangelical Cultures,5.0,
ANTH,129,Beyond Borders: Other Globalizations and Histories of Interconnection,5.0,"""ANTH 2"""
ANTH,130A,Anthropology of Africa.,5.0,
ANTH,130B,Brazil,5.0,"""ANTH 2"""
ANTH,130C,Politics and Culture in China,5.0,
ANTH,130E,Culture and Politics of Island Southeast Asia,5.0,"""ANTH 2"""
ANTH,130F,Blackness In Motion: Anthology of the African Diasporas,5.0,
ANTH,130G,Asian Americans in Ethnography and Film,5.0,
ANTH,130H,Ethnography of Russia and Eastern Europe,5.0,
ANTH,130I,Cultures of India,5.0,
ANTH,130IG,Cultures of India Abroad,5.0,
ANTH,130J,Politics and Statemaking in Latin America,5.0,
ANTH,130L,Ethnographies of Latin America,5.0,"""ANTH 2"""
ANTH,130M,Inside Mexico,5.0,
ANTH,130N,Native Peoples of North America,5.0,
ANTH,130O,"Native Feminisms, Gender, and Settler Colonialism",5.0,
ANTH,130P,Ethnography of Southern Cone Chile and Argentina,5.0,
ANTH,130S,"Ethnography of Russia and Eastern Europe, Abroad",5.0,
ANTH,130T,Religion and Politics in the Muslim World,5.0,
ANTH,130U,Central America,5.0,
ANTH,130V,Ethnography of Russia,5.0,
ANTH,130W,Ethnography of Eastern Europe,5.0,
ANTH,130X,Special Topics in Ethnography,5.0,"""ANTH 2"""
ANTH,130Y,"Health, Illness, & Medicines in Muslim Worlds",5.0,Prerequisite(s): ANTH 2 or GCH 1; ANTH 2 strongly recommended.
ANTH,131,Gender in Cross-Cultural Context,5.0,
ANTH,131H,Russian-Language Readings Course: Readings in Anthropology of Russia,2.0,
ANTH,133,Narratives of the Popular,5.0,
ANTH,134,Medical Anthropology: An Introduction,5.0,"""ANTH 2"""
ANTH,135A,Cities,5.0,
ANTH,136,The Biology of Everyday Life,5.0,"""ANTH 2"""
ANTH,137,Consuming Culture,5.0,
ANTH,138,Political Anthropology,5.0,
ANTH,139,Language and Culture,5.0,"""ANTH 2"""
ANTH,140,The Body in Rain: Environmental and Medical Intersections,5.0,
ANTH,142,Anthropology of Law,5.0,Enrollment is restricted to anthropology and legal studies majors.
ANTH,143,Performance and Power,5.0,Prerequisite(s): ANTH 2 or any other Anthropology course.
ANTH,144,Anthropology of Poverty and Welfare,5.0,
ANTH,145X,Special Topics in Socio-Cultural Anthropology,5.0,"""ANTH 2"""
ANTH,146,Anthropology and the Environment,5.0,"""ANTH 2"""
ANTH,147,Anthropology and the Anthropocene,5.0,"""ANTH 2"""
ANTH,148,Gender and Global Development,5.0,
ANTH,149,Anthropology of Activism,5.0,
ANTH,150,Communicating Anthropology,5.0,"Prerequisite(s): two of the following courses: ANTH 1, ANTH 2, or ANTH 3; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to sophomore and junior anthropology majors."
ANTH,151,Workshop in Ethnography,5.0,"""ANTH 2"""
ANTH,152,Survey of Cultural Anthropological Theory,5.0,Prerequisite(s): ANTH 2 and satisfaction of the Entry Level Writing and Composition requirements; enrollment is restricted to anthropology majors.
ANTH,153,Medicine and Colonialism,5.0,"[""AND"", ""ANTH 2"", ""ANTH 134""]"
ANTH,157,Modernity and Its Others,5.0,
ANTH,158,Feminist Ethnographies,5.0,
ANTH,159,Race and Anthropology,5.0,
ANTH,160,Reproductive and Population Politics,5.0,
ANTH,161,The Anthropology of Food,5.0,
ANTH,161S,"Anthropology of Food, Abroad",5.0,
ANTH,162,Anthropology of Displaced Persons,5.0,
ANTH,163,Kinship,5.0,
ANTH,164,The Anthropology of Dance,5.0,"""ANTH 2"""
ANTH,166,"States, Bureaucracies , and Other Cosmological Propositions",5.0,
ANTH,170,History of Archaeological Theory,5.0,Prerequisite(s): ANTH 3; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to anthropology and Earth sciences/anthropology combined majors. Recommended for juniors.
ANTH,171,Materials and Methods in Historical Archaeology,5.0,"""ANTH 3"""
ANTH,172,Archaeological Research Design,5.0,Prerequisite(s): ANTH 3. Enrollment is restricted to anthropology majors.
ANTH,173,Origins of Farming,5.0,Enrollment is restricted to juniors and seniors.
ANTH,174,Origins of Complex Societies,5.0,"""ANTH 3"""
ANTH,175,African Archaeology,5.0,"""ANTH 3"""
ANTH,176A,North American Archaeology,5.0,Prerequisite(s): ANTH 3 or consent of instructor.
ANTH,176B,Meso-American Archaeology,5.0,"""ANTH 3"""
ANTH,176C,Archaeology of the American Southwest,5.0,"[""AND"", ""ANTH 3"", ""ANTH 176A""]"
ANTH,176D,Colonial Encounters in the Americas,5.0,"[""AND"", ""ANTH 2"", ""ANTH 3""]"
ANTH,176E,Archaeology of the Pacific Northwest,5.0,"""ANTH 3"""
ANTH,176F,California Archaeology,5.0,"""ANTH 3"""
ANTH,177,Environmental Archaeology,5.0,
ANTH,178,Historical Archaeology: A Global Perspective,5.0,
ANTH,180,Ceramic Analysis in Archaeology,5.0,Prerequisite(s): ANTH 3. Concurrent enrollment in ANTH 180L required. Enrollment is restricted to anthropology majors.
ANTH,180L,Ceramic Analysis Laboratory,2.0,Prerequisite(s): ANTH 3. Concurrent enrollment in ANTH 180 required. Enrollment is restricted to anthropology majors.
ANTH,181X,Special Topics in Archaeology,5.0,"""ANTH 3"""
ANTH,182A,Lithic Technology,5.0,"""ANTH 3"""
ANTH,184,Zooarchaeology,5.0,Prerequisite(s): ANTH 3; concurrent enrollment in ANTH 184L is required.
ANTH,184L,Zooarchaeology Laboratory,2.0,Prerequisite(s): ANTH 3 and concurrent enrollment in ANTH 184. Enrollment is restricted to anthropology majors and combined Earth sciences/anthropology majors.
ANTH,185,"Osteology of Mammals, Birds, and Fish",5.0,
ANTH,187,Cultural Heritage in Colonial Contexts,5.0,
ANTH,187B,Cultural Resource Management,5.0,"""ANTH 3"""
ANTH,188A,Practicum in Archaeology A,2.0,
ANTH,188B,Practicum in Archaeology B,2.0,
ANTH,188C,Practicum in Archaeology C,2.0,
ANTH,189,Archaeology Field Methods,5.0,
ANTH,189A,Archaeological Field Techniques,5.0,Prerequisite(s): ANTH 3. Enrollment is by permission of the instructor. Enrollment is restricted to anthropology majors.
ANTH,190X,Special topics in Biological Anthropology,5.0,"""ANTH 1"""
ANTH,194A,Anthropology of Dead Persons,5.0,
ANTH,194B,"Chimpanzees: Biology, Behavior, and Evolution",5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; satisfaction of the Entry Level Writing and Composition requirement. Enrollment is restricted to senior anthropology majors."
ANTH,194C,Feminist Anthropology,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirement. Enrollment restricted to senior anthropology and Earth sciences/Anthropology combined majors."
ANTH,194D,Tribes/Castes/Women,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3. Satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,194E,Belief,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3 and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,194F,Memory,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; satisfaction of the Entry Level Writing and Composition requirement. Enrollment is restricted to senior anthropology majors."
ANTH,194G,Politics and Secularism,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirements; enrollment is restricted to senior anthropology majors."
ANTH,194H,Paleoanthropology,5.0,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; ANTH 1, ANTH 2, and ANTH 3. Enrollment is restricted to senior anthropology and  Earth sciences/Anthropology combined majors."
ANTH,194I,Consumption and Consumerism,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; satisfaction of the Entry Level Writing and Composition requirement. Enrollment is restricted to senior anthropology majors."
ANTH,194J,Histories of Forests and Other Wild Places,5.0,Prerequisite(s): satisfaction of Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors.
ANTH,194K,Reading Ethnographies,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,194L,Archaeology of the African Diaspora,5.0,"Prerequisite(s): ANTH 1, ANTH 2, ANTH 3 and an upper-division course in archaeology; satisfaction of the Entry Level Writing and Composition requirement. Enrollment is restricted to senior anthropology majors."
ANTH,194M,Medical Anthropology,5.0,"Prerequisite(s): ANTH 1, ANTH 2, ANTH 3, and ANTH 134; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,194N,Comparison of Cultures,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,194O,Masculinities,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3 and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,194P,"Space, Place, and Culture",5.0,Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements.  Enrollment is restricted to senior anthropology majors.
ANTH,194Q,"Race, Ethnicity, Nation",5.0,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements, and ANTH 1, ANTH 2, and ANTH 3. Enrollment is restricted to senior anthropology majors."
ANTH,194R,"Religion, Gender, Sexuality",5.0,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements, and ANTH 1, ANTH 2, and ANTH 3. Enrollment is restricted to senior anthropology majors."
ANTH,194S,Hearing Culture: The Anthropology of Sound,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,194T,Poverty and Inequality,5.0,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; ANTH 1, ANTH 2, and ANTH 3. Enrollment is restricted to senior anthropology majors."
ANTH,194U,"Environmental Anthropology: Nature, Culture, Politics",5.0,Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors.
ANTH,194V,Who Owns the Past? Ethical and Political Dimensions of Contemporary Archaeology,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors and Earth sciences and anthropology combined majors."
ANTH,194W,The Anthropology of Social Movements,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,194X,Women in Politics: A Third World Perspective,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,194Y,Archaeologies of Space and Landscape,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; an upper-division archaeology course; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology  majors."
ANTH,194Z,Emerging Worlds,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirements; enrollment is restricted to senior anthropology majors."
ANTH,195A,Senior Thesis Seminar,5.0,
ANTH,195B,Senior Thesis Research,3.0,Prerequisite(s): ANTH 195A. Enrollment is restricted to senior anthropology majors.
ANTH,195C,Senior Thesis Capstone,3.0,Prerequisite(s): ANTH 195B. Enrollment is restricted to senior anthropology majors.
ANTH,195S,Senior Thesis,5.0,Prerequisite(s): Satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to anthropology majors. Enrollment is by permission of the instructor.
ANTH,196C,Traveling Cultures,5.0,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; and ANTH 1, ANTH 2, and ANTH 3. Enrollment is restricted to senior anthropology majors."
ANTH,196D,Food and Medicine,5.0,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; and ANTH 1, ANTH 2, and ANTH 3."
ANTH,196E,Pastoralists Past and Present,5.0,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; and ANTH 1, ANTH 2, and ANTH 3. Enrollment is restricted to senior anthropology majors."
ANTH,196F,"The Anthropology of Things: Gift, Sign, Commodity, Tool",5.0,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; and ANTH 1, ANTH 2, and ANTH 3. Enrollment is restricted to senior anthropology majors."
ANTH,196G,"Queer Worlds: Sexuality, Intimacy and Power in Contemporary Ethnography",5.0,"Prerequisite(s): Satisfaction of the Entry Level Writing and Composition requirements; and ANTH 1, ANTH 2, and ANTH 3. Enrollment is restricted to senior anthropology majors."
ANTH,196H,Global History and the Longue Duree,5.0,"Prerequisite(s): satisfaction of the Entry Level Writing and Composition requirements; and ANTH 1, ANTH 2, and ANTH 3. Enrollment is restricted to senior anthropology majors."
ANTH,196I,Hard Problems,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,196J,Imagining America,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3 and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,196K,Settler Colonialism,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3 and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,196L,Archaeology of the American Southwest,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3 and satisfaction of the Entry Level Writing and Composition requirements. ANTH 178 is strongly recommended. Enrollment is restricted to senior anthropology and  Earth sciences/Anthropology combined majors."
ANTH,196M,Modernity and its Others,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; and satisfaction of the Entry Level Writing and Composition requirements.  Enrollment is restricted to senior anthropology majors."
ANTH,196N,"The Body, Narrative, and Creative Practice",5.0,
ANTH,196O,Gender and Politics,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,196P,Disability and Difference,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3; and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior Anthropology majors."
ANTH,196Q,Property,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,196R,Design Anthropology,5.0,
ANTH,196T,Archaeology of Technology,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirement. Enrollment is restricted to senior anthropology and  Earth sciences/Anthropology combined majors."
ANTH,196U,Historical Anthropology,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology and  Earth sciences/Anthropology combined majors."
ANTH,196V,Radical Craft,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,196W,Anthropology of Weather and Exposure,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3. Satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior Anthropology majors."
ANTH,196X,Medicines for the Soul,5.0,"Prerequisite(s): ANTH 1, ANTH 2, and ANTH 3, and satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to senior anthropology majors."
ANTH,197,Laboratory Tutorial,5.0,
ANTH,197F,Laboratory Tutorial,2.0,
ANTH,198,Independent Field Study,5.0,
ANTH,198F,Ind Field Study,2.0,
ANTH,198G,Independent Field Study,3.0,
ANTH,199,Tutorial,5.0,
ANTH,199F,Tutorial,2.0,
APLX,55,"Pardon My French: Politeness, Impoliteness, Swearing, Slang, and Humor",5.0,
APLX,80,Introduction to Applied Linguistics,5.0,
APLX,99,Tutorial,5.0,
APLX,99F,Tutorial,2.0,
APLX,101,Second-Language Acquisition,5.0,"[""OR"", ""APLX 80"", ""LING 50""]"
APLX,102,Bilingualism,5.0,"[""OR"", ""APLX 80"", ""LING 50""]"
APLX,103,Second Language Speech,5.0,"[""OR"", ""APLX 80"", ""LING 50""]"
APLX,105,Language Loss,5.0,Prerequisite(s): APLX 80 or LING 50 or by permission of instructor.
APLX,112,Language and Gender,5.0,
APLX,113,Inter-Cultural Communication,5.0,Enrollment is restricted to juniors and seniors.
APLX,113I,Intercultural Communication—Global Internship,5.0,
APLX,115,Language and Power,5.0,"Prerequisite(s): APLX 80. Enrollment is restricted to sophomores, juniors, and seniors."
APLX,116,Discourse Analysis: Language Use and Context,5.0,Prerequisite(s): LING 50 or by consent of the instructor. Enrollment is restricted to juniors and seniors.
APLX,122,Linguistic Diversity & Social Justice,5.0,"Prerequisite(s): APLX 80; enrollment restricted to applied linguistics and multiculturalism, language studies, and linguistics majors."
APLX,124,Second Language Variation and Sociolinguistics,5.0,"""APLX 101"""
APLX,135,Second Language Teaching,5.0,"Enrollment is restricted to applied linguistics and multiculturalism, linguistics, and language studies majors, or by permission of instructor. Students cannot receive credit for this course and APLX 235."
APLX,136,Second Language Assessment,5.0,Prerequisite(s): Previous or concurrent enrollment in APLX 135.
APLX,138,English Grammar for TESOL,5.0,
APLX,190,Research Seminar in Applied Linguistics,5.0,Prerequisite(s): APLX 80 and APLX 101; satisfaction of the Entry Level Writing and Composition requirements. Enrollment is restricted to seniors.
APLX,199,Tutorial,5.0,
APLX,199F,Tutorial,2.0,
ARBC,1,First-Year Arabic,5.0,
ARBC,2,First-Year Arabic,5.0,ARBC 1 or equivalent proficiency
ARBC,3,First-Year Arabic,5.0,Arabic 2 or equivalent proficiency.
ARBC,4,Second-Year Arabic,5.0,Prerequisite(s): ARBC 3 or equivalent proficiency.
ARBC,5,Second-Year Arabic,5.0,Prerequisite(s): ARBC 4 or comparable proficiency.
ARBC,6,Second-Year Arabic,5.0,Prerequisite(s): ARBC 5 or comparable proficiency.
ART,10D,2D Foundation,5.0,Enrollment is restricted to art majors and proposed art majors during first-pass enrollment; restrictions lifted after first pass.
ART,10E,3D Foundation,5.0,Enrollment is restricted to art majors during first-pass enrollment; restrictions lifted after first pass.
ART,10F,4D Foundation,5.0,Enrollment is restricted to proposed and declared ART majors during first-pass enrollment; restrictions lifted after first pass.
ART,15,Introduction to Drawing for the Major,5.0,
ART,26,Introduction to Printmaking,5.0,
ART,80D,Fundamentals of Photography,5.0,
ART,80E,Environmental Art in the Expanded Field,5.0,
ART,80F,Introduction to Issues in Digital Media,5.0,
ART,80T,Digital Tools for Contemporary Art Practice,5.0,
ART,80X,Ars Erotica: Sexual Imagery in Culture and Art,5.0,
ART,99,Tutorial,5.0,
ART,101,Introduction to Computer Programming for the Arts,5.0,
ART,104,Digital Video,5.0,"Prerequisite(s): Three courses from: ART 15, ART 20G, ART 20H, ART 20I, ART 20J, ART 20K, ART 20L, ART 26 or by permission of instructor. Enrollment is restricted to art majors."
ART,106A,2D Animation,5.0,"Prerequisite(s): Three courses from: ART 15, ART 20G, ART 20H, ART 20I, ART 20J, ART 20K, ART 20L, ART 26. Enrollment is restricted to art majors."
ART,106C,Stop Motion Animation,5.0,"Prerequisite(s): Three courses from: ART 15, ART 20G, ART 20H, ART 20I, ART 20J, ART 20K, ART 20L, ART 26; or by permission of instructor.  Enrollment is restricted to art majors."
ART,106E,3D Modeling and Animation,5.0,"Prerequisite(s): Three courses from: ART 15, ART 20G, ART 20H, ART 20I, ART 20J, ART 20K, ART 20L, ART 26; or by permission of instructor. Enrollment is restricted to art majors."
ART,106G,Immersive Nonfiction,5.0,
ART,106O,2D Animation,5.0,
ART,108,"Art, Design, and Social Practice",5.0,"Prerequisite(s): Three courses from: ART 15, ART 20G, ART 20H, ART 20I, ART 20J, ART 20K, ART 20L, ART 26; or by permission of instructor. Enrollment is restricted to art majors."
ART,110,Intermediate/Advanced Drawing,5.0,"Prerequisite(s): One course from ART 15, ART 20G, ART 20J, ART 20L, ART 111, ART 112, ART 119; and two from ART 20H, ART 20I, ART 20K, ART 26; or by permission of instructor. Enrollment is restricted to art majors."
ART,111,Figure Drawing,5.0,"Prerequisite(s): One course from ART 15, ART 20G, ART 20J, ART 20L, ART 110, ART 112, ART 119; and two from ART 20H, ART 20I, ART 20K, ART 26; or by permission of instructor. Enrollment is restricted to art majors."
ART,112,Mixed Media Works on Paper,5.0,"Prerequisite(s): One course from ART 15, ART 20G, ART 20J, ART 20L, ART 110, ART 111, 119; and two from ART 20H, ART 20I, ART 20K, ART 26; or by permission of instructor. Enrollment is restricted to art majors."
ART,113,Illustrating Stories: Fantasy and Documentary Narratives,5.0,
ART,119,Special Topics in Drawing,5.0,"Prerequisite(s): One course from ART 15, ART 20G, ART 20J, ART 20L, ART 110, ART ART 111, ART 112; and two from  ART 20H, ART 20I, ART 20K, ART 26; or by permission of instructor. Enrollment is restricted to art majors."
